Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776811254.4585714,359.94,-6.56,2.62,7.94,839.4
1776811254.5494666,359.94,-6.56,2.62,7.93,814.9
1776811254.6861413,359.94,-6.56,2.62,7.94,925.7
1776811254.8916016,359.94,-6.56,2.62,7.93,936.8
1776811254.9645913,359.94,-6.56,2.62,7.95,837.8
1776811255.1849647,94.0,-6.56,2.62,7.91,888.2
1776811255.2653556,359.94,-6.56,2.62,7.92,809.4
1776811255.4040935,4.0,-6.56,2.62,7.95,853.1
1776811255.4783325,359.94,-6.56,2.62,7.92,897.6
1776811255.6802459,359.94,-6.56,2.62,7.92,902.3
1776811255.8122222,4.0,-6.56,2.62,7.92,868.1
1776811255.8843055,359.94,-6.56,2.62,7.92,828.6
1776811256.0301707,359.94,-6.56,2.62,7.93,902.4
1776811256.1004786,359.94,-6.56,2.62,7.95,840.9
